region,gender,year,lowerbound,upperbound,mean_estimate,country,age_group,ci_width,malnutrition_level,condition
Americas,Male,2013,0.94316,1.89881,1.36614,Argentina,Adult,0.9556500000000001,Low,Malnutrition
Africa,Female,2021,3.97204,8.07702,5.79511,Gabon,Adult,4.104979999999999,Low,Malnutrition
Western Pacific,Both,2017,2.42823,3.84215,3.09065,Mongolia,Adult,1.41392,Low,Malnutrition
Africa,Female,2016,6.65567,10.25312,8.37172,Sierra Leone,Adult,3.5974499999999994,Low,Malnutrition
,Both,2021,12.24232,14.44287,13.33635,SEAR,Adult,2.20055,Moderate,Malnutrition
Eastern Mediterranean,Male,2014,1.25384,3.51682,2.20807,QAT,Adult,2.2629799999999998,Low,Malnutrition
Europe,Male,2016,1.62002,3.59292,2.4851,UZB,Adult,1.9728999999999999,Low,Malnutrition
Europe,Male,2016,1.08091,1.51712,1.28651,GBR,Adult,0.43621,Low,Malnutrition
Americas,Both,2017,1.75324,5.00467,3.05398,HND,Adult,3.25143,Low,Malnutrition
Western Pacific,Female,2017,1.67619,5.79481,3.39119,VUT,Adult,4.11862,Low,Malnutrition
Europe,Male,2020,0.38834,1.99545,0.96604,MNE,Adult,1.60711,Low,Malnutrition
Americas,Both,2014,4.76137,7.57974,6.09935,TTO,Adult,2.81837,Low,Malnutrition
Western Pacific,Female,2016,0.11321,1.27641,0.48691,COK,Adult,1.1632,Low,Malnutrition
Africa,Male,2012,9.45811,14.89628,12.08964,LSO,Adult,5.438170000000001,Moderate,Malnutrition
Europe,Male,2019,0.3518,1.11767,0.66212,DEU,Adult,0.7658699999999999,Low,Malnutrition
Africa,Both,2018,9.45368,15.47583,12.27354,GMB,Adult,6.02215,Moderate,Malnutrition
,Both,2017,14.13334,15.93287,15.01926,WB_LI,Adult,1.799529999999999,Moderate,Malnutrition
Americas,Female,2014,3.07489,5.20781,4.09519,VEN,Adult,2.1329200000000004,Low,Malnutrition
Africa,Both,2017,5.48162,9.09319,7.19612,LSO,Adult,3.6115699999999995,Low,Malnutrition
Europe,Female,2018,0.93641,5.65121,2.76706,CYP,Adult,4.7148,Low,Malnutrition
Africa,Both,2022,9.28885,18.96023,13.62746,COG,Adult,9.67138,Moderate,Malnutrition
Western Pacific,Female,2020,0.2179,2.48961,0.99641,NIU,Adult,2.2717099999999997,Low,Malnutrition
Africa,Both,2018,3.53597,6.29275,4.81244,DZA,Adult,2.75678,Low,Malnutrition
Europe,Both,2017,1.15789,3.2154,2.05855,LVA,Adult,2.0575099999999997,Low,Malnutrition
Western Pacific,Male,2020,1.84421,4.63766,3.09532,Mongolia,Adult,2.7934500000000004,Low,Malnutrition
Western Pacific,Male,2018,0.33379,1.51761,0.80115,PLW,Adult,1.1838199999999999,Low,Malnutrition
Europe,Both,2014,1.24704,2.16848,1.6754,HRV,Adult,0.9214400000000003,Low,Malnutrition
