Region,Gender,Year,Lowerbound,Upperbound,Mean_Estimate,Country,age_group,CI_WIDTH,Obesity_level,CI_Width,Condition
Americas,Male,2017,32.93017,40.91354,36.8263,Bahamas,Adult,7.983370000000001,High,7.983370000000001,Obesity
Eastern Mediterranean,Male,2020,15.79378,19.24573,17.48764,"Iran, Islamic Republic of",Adult,3.4519499999999983,Low,3.4519499999999983,Obesity
Eastern Mediterranean,Male,2020,23.08959,33.81534,28.33553,Iraq,Adult,10.725749999999998,Moderate,10.725749999999998,Obesity
Europe,Female,2014,24.92477,31.21326,27.9487,Greenland,Adult,6.2884899999999995,Moderate,6.2884899999999995,Obesity
Europe,Female,2019,28.16068,35.57493,31.89322,Armenia,Adult,7.414250000000003,High,7.414250000000003,Obesity
Europe,Both,2018,29.90581,37.47086,33.69421,MLT,Adult,7.565050000000003,High,7.565050000000003,Obesity
Americas,Female,2021,37.52783,46.36891,41.91982,PAN,Adult,8.841079999999998,High,8.841079999999998,Obesity
South-East Asia,Both,2015,4.50571,5.06104,4.77845,IND,Adult,0.5553300000000005,Low,0.5553300000000005,Obesity
Africa,Male,2015,1.29239,3.98972,2.37133,MDG,Adult,2.69733,Low,2.69733,Obesity
Africa,Both,2014,4.58348,6.64146,5.51619,GIN,Adult,2.0579800000000006,Low,2.0579800000000006,Obesity
Western Pacific,Female,2018,7.14041,10.48312,8.74471,PHL,Adult,3.3427099999999994,Low,3.3427099999999994,Obesity
Eastern Mediterranean,Male,2014,4.40397,8.04362,6.08068,YEM,Adult,3.6396500000000005,Low,3.6396500000000005,Obesity
Eastern Mediterranean,Male,2017,26.93601,32.26266,29.54862,JOR,Adult,5.326649999999997,Moderate,5.326649999999997,Obesity
Africa,Male,2020,4.65844,10.55411,7.22761,BWA,Adult,5.89567,Low,5.89567,Obesity
Western Pacific,Both,2014,29.8877,31.83109,30.86861,NZL,Adult,1.9433900000000008,High,1.9433900000000008,Obesity
Africa,Female,2016,20.83094,26.39559,23.53896,MUS,Adult,5.56465,Low,5.56465,Obesity
Europe,Both,2012,21.33206,26.94976,24.12328,BLR,Adult,5.617700000000003,Low,5.617700000000003,Obesity
Europe,Both,2012,18.12728,21.31219,19.69495,BEL,Adult,3.184910000000002,Low,3.184910000000002,Obesity
Africa,Both,2019,4.89455,6.16785,5.5056,UGA,Adult,1.2732999999999999,Low,1.2732999999999999,Obesity
Europe,Both,2018,20.93098,35.44287,27.76966,MKD,Adult,14.511889999999998,Moderate,14.511889999999998,Obesity
Western Pacific,Female,2021,72.34848,87.33046,80.31689,ASM,Adult,14.981980000000007,High,14.981980000000007,Obesity
South-East Asia,Female,2018,6.86401,8.19216,7.51704,IND,Adult,1.328149999999999,Low,1.328149999999999,Obesity
Africa,Both,2013,12.54405,16.48752,14.40253,GAB,Adult,3.9434699999999996,Low,3.9434699999999996,Obesity
Africa,Female,2012,17.90835,26.0885,21.84648,GNQ,Adult,8.180150000000001,Low,8.180150000000001,Obesity
Africa,Male,2012,1.59453,2.67448,2.09685,SEN,Adult,1.07995,Low,1.07995,Obesity
Africa,Both,2014,1.72651,3.08159,2.30219,MDG,Adult,1.3550799999999998,Low,1.3550799999999998,Obesity
Europe,Female,2021,18.99969,25.27534,22.0501,BGR,Adult,6.275649999999999,Low,6.275649999999999,Obesity
Eastern Mediterranean,Both,2016,14.22169,16.49196,15.33725,PAK,Adult,2.2702699999999982,Low,2.2702699999999982,Obesity
Western Pacific,Female,2015,61.52469,71.70997,66.78111,TUV,Adult,10.185279999999999,High,10.185279999999999,Obesity
Europe,Female,2022,18.9475,27.70874,23.16077,ISR,Adult,8.761239999999997,Low,8.761239999999997,Obesity
Africa,Male,2018,4.50109,11.11932,7.40646,NAM,Adult,6.6182300000000005,Low,6.6182300000000005,Obesity
Europe,Female,2012,19.66685,23.48476,21.60073,UZB,Adult,3.8179100000000012,Low,3.8179100000000012,Obesity
Africa,Female,2014,23.76693,29.46005,26.59205,DZA,Adult,5.69312,Moderate,5.69312,Obesity
Europe,Female,2015,33.16986,40.00237,36.59294,GEO,Adult,6.832509999999999,High,6.832509999999999,Obesity
Europe,Both,2018,16.09938,19.8558,17.86947,KAZ,Adult,3.7564199999999985,Low,3.7564199999999985,Obesity
